ID_REF	GSM1684095	GSM1684096	GSM1684097	GSM1684098	GSM1684099	GSM1684100	GSM1684101	GSM1684102	GSM1684103	GSM1684104
ILMN_1802519	268.6375	164.861	359.9794	215.0331	446.6225	253.3039	324.4171	221.4174	331.2213	212.1753
ILMN_1802523	94.80772	81.48301	87.95121	89.31599	87.95356	90.11618	84.66673	90.17085	96.85275	122.2623
ILMN_1802524	281.0367	179.5061	110.9962	115.2753	117.1536	126.1289	96.77426	103.2247	113.9552	115.5848
ILMN_1802535	151.1006	164.4727	135.6678	164.217	130.7077	136.8783	127.1342	113.5659	127.9568	133.9289
ILMN_1802537	97.02832	91.20419	96.6649	97.70033	96.11865	88.72407	78.19208	103.1112	83.76845	93.57443
ILMN_1802539	96.03722	97.10588	92.62215	96.77161	102.3281	101.5079	106.4799	94.27628	94.0313	99.85506
ILMN_1802542	93.79545	90.04288	101.6801	91.64157	88.18752	102.3725	100.1814	92.20339	87.65126	93.66345
ILMN_1802550	158.1353	129.5668	149.3485	146.5137	105.0109	115.4039	123.4083	110.8294	107.2176	135.0916
ILMN_1802553	313.976	313.326	563.5258	396.6664	860.3015	535.5547	570.6824	511.0703	464.2128	380.3477
ILMN_1802557	322.1339	282.2168	532.171	406.6943	621.8292	704.6705	525.5374	354.6984	521.7205	326.5072
ILMN_1802573	99.1664	114.6797	113.9536	95.29133	99.45427	105.2558	99.36217	96.14593	103.7732	101.983
ILMN_1802603	280.2753	295.2239	308.7097	314.1422	348.3428	332.2919	221.7433	235.8886	267.2959	283.9706
ILMN_1802611	1262.973	1330.146	1204.413	1156.396	948.6775	937.3754	891.0811	762.1034	1059.441	1014.551
ILMN_1802615	548.3271	875.9706	434.2379	642.6802	298.5178	586.7776	373.5307	650.5878	421.4761	386.9159
ILMN_1802627	101.9216	118.0281	125.3371	126.4988	216.9201	133.4257	170.8573	131.3651	194.6307	145.9447
ILMN_1802628	133.8247	98.77721	139.2372	126.6258	150.8619	140.2051	140.656	169.6368	169.0748	156.0348
ILMN_1802629	98.69062	109.1271	100.0154	94.715	102.474	108.7632	116.7803	100.7562	89.76051	116.3026
ILMN_1802631	168.1886	151.2535	232.8087	217.705	183.5066	157.0694	180.2808	179.784	185.086	146.8028
ILMN_1802633	81.86684	84.80975	85.19855	85.2523	91.39991	85.87878	77.30228	78.90044	85.13683	74.80295
ILMN_1802642	79.72253	91.28194	86.51217	85.39533	80.51137	78.35294	82.59377	85.81905	91.26935	100.1197
ILMN_1802646	81.30066	96.37234	83.50119	86.12497	103.3793	76.91512	93.50047	102.5722	96.22059	81.8149
ILMN_1802649	183.537	149.8256	172.1491	183.2897	121.6206	171.1098	175.3851	226.8421	152.787	173.205
ILMN_1802653	2564.13	2671.535	1348.55	1840.266	292.3764	1196.946	1499.196	1361.009	1075.305	1530.492
ILMN_1802654	118.2656	105.2282	141.5927	128.9803	115.985	117.4025	107.9454	101.7227	128.5544	111.6068
ILMN_1802661	101.7089	94.70312	95.86527	111.6699	89.64939	94.81793	108.9846	91.05455	84.18682	93.38953
ILMN_1802669	836.5432	569.7043	858.4066	913.257	767.8359	693.1932	1164.058	950.2916	988.8665	1028.472
ILMN_1802674	81.87808	94.13496	93.01044	85.40569	83.4482	88.66434	82.9598	88.58027	92.57975	88.86063
ILMN_1802690	80.33865	79.48078	81.77084	87.65606	85.46699	77.77702	89.97919	78.83871	83.25436	93.15131
ILMN_1802691	114.6967	107.8172	103.7906	113.2973	111.1539	92.47544	108.3221	97.07655	105.5701	100.5431
ILMN_1802699	111.1835	125.6116	107.3711	129.8675	115.8654	123.7625	104.8909	128.4328	109.3721	112.2555
ILMN_1802701	106.2678	100.1322	101.6909	94.09615	100.2913	98.84972	96.13842	97.88869	89.59993	86.4957
