ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
ILMN_1681916	8.99e-01	5.02e-01	-0.6935962	-6.498375	-0.06301627	KCNA6	potassium voltage-gated channel subfamily A member 6
ILMN_1743290	8.99e-01	5.02e-01	0.6935871	-6.498382	0.04222209	GP9	glycoprotein IX platelet
ILMN_3275972	8.99e-01	5.02e-01	-0.693558	-6.498402	-0.05407712		
ILMN_1797359	8.99e-01	5.02e-01	0.6935265	-6.498425	0.17804343		
ILMN_1705433	8.99e-01	5.02e-01	0.6935066	-6.498439	0.09412005	CBLL1	Cbl proto-oncogene like 1
ILMN_1689083	8.99e-01	5.02e-01	-0.693498	-6.498445	-0.05337877		
ILMN_1799485	8.99e-01	5.02e-01	0.6934572	-6.498474	0.05545786	RIMBP3B	RIMS binding protein 3B
ILMN_1833027	8.99e-01	5.02e-01	0.6933793	-6.49853	0.05474546		
ILMN_1837271	8.99e-01	5.02e-01	-0.6933666	-6.498539	-0.0486878		
ILMN_1751776	8.99e-01	5.02e-01	-0.6932945	-6.498591	-0.05065312	CKAP2L	cytoskeleton associated protein 2 like
ILMN_2328835	8.99e-01	5.02e-01	0.6932591	-6.498616	0.10329958	IP6K2	inositol hexakisphosphate kinase 2
ILMN_1683316	8.99e-01	5.02e-01	-0.6932539	-6.49862	-0.05218673	PRR18	proline rich 18
ILMN_3208881	8.99e-01	5.02e-01	-0.6932476	-6.498624	-0.07758005		
ILMN_3309909	8.99e-01	5.02e-01	0.6932454	-6.498626	0.0538811	MIR1286	microRNA 1286
ILMN_1749540	8.99e-01	5.02e-01	-0.6931897	-6.498665	-0.06436925	RBM20	RNA binding motif protein 20
ILMN_1685798	8.99e-01	5.02e-01	0.6931521	-6.498692	0.04905788	MAGEA6	MAGE family member A6
ILMN_1714172	8.99e-01	5.02e-01	-0.6931486	-6.498695	-0.07369121	VWA3B	von Willebrand factor A domain containing 3B
ILMN_2106874	8.99e-01	5.02e-01	0.6931297	-6.498708	0.04383669	CACNG8	calcium voltage-gated channel auxiliary subunit gamma 8
ILMN_3227782	8.99e-01	5.02e-01	0.6930479	-6.498767	0.07348573	MARVELD1	MARVEL domain containing 1
ILMN_3178830	8.99e-01	5.02e-01	0.6930089	-6.498794	0.04115597		
ILMN_1748555	8.99e-01	5.02e-01	-0.6929426	-6.498842	-0.07028079		
ILMN_1692862	8.99e-01	5.02e-01	-0.6928883	-6.49888	-0.05793545		
ILMN_3209180	8.99e-01	5.02e-01	0.6928311	-6.498921	0.20073392		
ILMN_2285213	8.99e-01	5.02e-01	0.6928241	-6.498926	0.05003629	DNAJB2	DnaJ heat shock protein family (Hsp40) member B2
ILMN_1912160	8.99e-01	5.02e-01	-0.6927983	-6.498945	-0.08003687		
ILMN_2203976	8.99e-01	5.02e-01	0.6927151	-6.499004	0.05637949	GAGE2C	G antigen 2C
ILMN_1664748	8.99e-01	5.02e-01	-0.6926265	-6.499067	-0.0832844	SLC25A25	solute carrier family 25 member 25
ILMN_1658058	8.99e-01	5.03e-01	-0.6925596	-6.499115	-0.04512797		
ILMN_3244358	8.99e-01	5.03e-01	-0.6924103	-6.499221	-0.0557026	MYT1L-AS1	MYT1L antisense RNA 1
ILMN_1777797	8.99e-01	5.03e-01	-0.6924029	-6.499226	-0.04558671	AFM	afamin
ILMN_1736285	8.99e-01	5.03e-01	0.6923811	-6.499242	0.05619972	RFT1	RFT1 homolog
ILMN_2112474	8.99e-01	5.03e-01	0.6923603	-6.499257	0.07819442	PAQR5	progestin and adipoQ receptor family member 5
ILMN_1688075	8.99e-01	5.03e-01	0.6923421	-6.49927	0.05064499	OTX2	orthodenticle homeobox 2
ILMN_1797954	8.99e-01	5.03e-01	-0.6922465	-6.499338	-0.04081857		
ILMN_1717101	8.99e-01	5.03e-01	-0.6921719	-6.499391	-0.04491497	MINK1	misshapen like kinase 1
ILMN_1742473	8.99e-01	5.03e-01	0.6921474	-6.499409	0.0833594	VSTM4	V-set and transmembrane domain containing 4
ILMN_3192934	8.99e-01	5.03e-01	0.692076	-6.499459	0.03825117		
ILMN_3234629	8.99e-01	5.03e-01	-0.692074	-6.499461	-0.04421142	SHISA7	shisa family member 7
ILMN_2297373	8.99e-01	5.03e-01	-0.6919977	-6.499515	-0.04979998	ELMSAN1	ELM2 and Myb/SANT domain containing 1
ILMN_1697914	8.99e-01	5.03e-01	-0.6919079	-6.499579	-0.07027177	DGKB	diacylglycerol kinase beta
ILMN_2077130	8.99e-01	5.03e-01	0.6919077	-6.499579	0.0605141	MSH3	mutS homolog 3
ILMN_1694476	8.99e-01	5.03e-01	0.6918427	-6.499626	0.04439283	HMBS	hydroxymethylbilane synthase
ILMN_1912505	8.99e-01	5.03e-01	-0.6918245	-6.499639	-0.05733516	LINC01340	long intergenic non-protein coding RNA 1340
ILMN_1888495	8.99e-01	5.03e-01	0.6916679	-6.49975	0.08303584		
ILMN_1677226	8.99e-01	5.03e-01	-0.691652	-6.499761	-0.06941514	ARVCF	armadillo repeat gene deleted in velocardiofacial syndrome
ILMN_3238132	8.99e-01	5.03e-01	-0.6916469	-6.499765	-0.0617658	HNF1A	HNF1 homeobox A
